"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"10410","5/73 Castanho Claro Marrom Dourado","7891182017213","","1389700275","Coloração Wella Professionals Color Perfect Deep Browns 5/73 Castanho Claro Marrom Dourado 60 ml","SIM","","coloracao-wella-professionals-color-perfect-deep-browns-5-73-castanho-claro-marrom-dourado-60-ml","Coloração Wella Professionals Color Perfect Deep Browns 5/73 Castanho Claro Marrom Dourado 60 ml","","1","Cabelos","9","Coloracao","3",""
"10411","5/5  Castanho Claro Acaju","7891182017909","","1389700276","Coloração Wella Professionals Color Perfect  Vibrant Reds 5/5  Castanho Claro Acaju 60 ml","SIM","","coloracao-wella-professionals-color-perfect-vibrant-reds-5-5-castanho-claro-acaju--60-ml","Coloração Wella Professionals Color Perfect  Vibrant Reds 5/5  Castanho Claro Acaju 60 ml","","1","Cabelos","9","Coloracao","3",""
"10412","5/66  Castanho Claro Violeta Intenso","7891182017916","","1389700277","Coloração Wella Professionals Color Perfect Vibrant Reds 5/66  Castanho Claro Violeta Intenso 60 ml","SIM","","coloracao-wella-professionals-color-perfect-vibrant-reds-5-66-castanho-claro-violeta-intenso-60-ml","Coloração Wella Professionals Color Perfect Vibrant Reds 5/66  Castanho Claro Violeta Intenso 60 ml","","1","Cabelos","9","Coloracao","3",""
"10413","55/44 Castanho Claro Intenso Vermelho Intenso","7891182017923","","1389700278","Coloração Wella Professionals Color Perfect Vibrant Reds 55/44 Castanho Claro Intenso Vermelho Intenso 60 ml","SIM","","coloracao-wella-professionals-color-perfect-vibrant-reds-55-44-castanho-claro-intenso-vermelho-intenso-60-ml","Coloração Wella Professionals Color Perfect Vibrant Reds 55/44 Castanho Claro Intenso Vermelho Intenso 60 ml","","1","Cabelos","9","Coloracao","3",""
"10414","66/46  Louro Escuro Intenso","7891182017961","","1389700279","Coloração Wella Professionals Color Perfect Vibrant Reds 66/46  Louro Escuro Intenso 60 ml","SIM","","coloracao-wella-professionals-color-perfect-vibrant-reds-66-46-louro-escuro-intenso-60-ml","Coloração Wella Professionals Color Perfect Vibrant Reds 66/46  Louro Escuro Intenso 60 ml","","1","Cabelos","9","Coloracao","3",""
"10415","5/37 Castanho Claro Dourado Marrom","7891182018142","","1389700280","Coloração Wella Professionals Color Perfect Rich Naturals 5/37 Castanho Claro Dourado Marrom 60 ml","SIM","","coloracao-wella-professionals-color-perfect-rich-naturals-5-37-castanho-claro-dourado-marrom-60-ml","Coloração Wella Professionals Color Perfect Rich Naturals 5/37 Castanho Claro Dourado Marrom 60 ml","","1","Cabelos","9","Coloracao","3",""
"10416","9/16 Louro Ultraclaro Cinza Violeta","7891182018302","","1389700281","Coloração Wella Professionals Color Perfect Rich Naturals 9/16 Louro Ultraclaro Cinza Violeta 60 ml","SIM","","coloracao-wella-professionals-color-perfect-rich-naturals-9-16-louro-ultraclaro-cinza-violeta-60-ml","Coloração Wella Professionals Color Perfect Rich Naturals 9/16 Louro Ultraclaro Cinza Violeta 60 ml","","1","Cabelos","9","Coloracao","3",""
"10417","9/3  Louro Ultraclaro Dourado","7891182018326","","1389700282","Coloração Wella Professionals Color Perfect Rich Naturals 9/3  Louro Ultraclaro Dourado 60 ml","SIM","","coloracao-wella-professionals-color-perfect-rich-naturals-9-3-louro-ultraclaro-dourado-60-ml","Coloração Wella Professionals Color Perfect Rich Naturals 9/3  Louro Ultraclaro Dourado 60 ml","","1","Cabelos","9","Coloracao","3",""
"10418","5/66 Castanho Claro Violeta Intenso","7891182018951","","1389700283","Coloração Wella Professionals Color Touch Vibrant Reds 5/66 Castanho Claro Violeta Intenso 60 ml","SIM","","coloracao-wella-professionals-color-touch-vibrant-reds-5-66-castanho-claro-violeta-intenso-60-ml","Coloração Wella Professionals Color Touch Vibrant Reds 5/66 Castanho Claro Violeta Intenso 60 ml","","1","Cabelos","9","Coloracao","3",""
"10419","5/75 Castanho Claro Marrom Acaju","7891182019040","","1389700284","Coloração Wella Professionals Color Touch Deep Browns 5/75 Castanho Claro Marrom Acaju 60 ml","SIM","","coloracao-wella-professionals-color-touch-deep-browns-5-75-castanho-claro-marrom-acaju-60-ml","Coloração Wella Professionals Color Touch Deep Browns 5/75 Castanho Claro Marrom Acaju 60 ml","","1","Cabelos","9","Coloracao","3",""
